Order Date,year,month,day_of_week,is_weekend,Quarter,ShippingDuration,Ship Mode,Segment,State,Region,Num Products,Sales,sales_lag_1,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30,rolling_std_30
2015-01-12,2015,1,0,0,0,59.0,Second Class,Consumer,Ohio,East,4,1614.124,95.968,75.16,468.9,441.34971428571436,467.25803333333334,755.627982320368
2015-01-12,2015,1,0,0,0,59.0,First Class,Consumer,Wisconsin,Central,2,2854.48,1614.124,15.696,5.94,661.2017142857143,505.43216666666666,784.1053918005947
2015-01-12,2015,1,0,0,0,59.0,First Class,Consumer,Massachusetts,East,3,327.56,2854.48,65.8,457.568,1066.7422857142858,600.3835,887.2249904316246
2015-01-12,2015,1,0,0,0,120.0,Standard Class,Consumer,California,West,1,58.2,327.56,76.12,513.861,1104.1365714285714,596.0499,888.2635194228914
2015-01-12,2015,1,0,0,0,59.0,Second Class,Corporate,Texas,Central,1,674.058,58.2,2027.144,574.194,1101.5765714285715,580.8611999999999,893.5970880930853
2015-01-13,2015,1,1,0,0,5.0,Standard Class,Consumer,Ohio,East,2,40.846000000000004,674.058,733.5600000000001,651.588,908.2785714285714,584.19,893.7573859698862
2015-01-13,2015,1,1,0,0,2.0,Second Class,Corporate,Louisiana,South,5,1287.26,40.846000000000004,95.968,73.19999999999999,809.3194285714286,563.8319333333333,899.1089913195071
2015-01-13,2015,1,1,0,0,5.0,Standard Class,Consumer,California,West,3,1679.749,1287.26,1614.124,46.688,979.5039999999999,604.3006,903.5754544386657
2015-01-13,2015,1,1,0,0,3.0,Second Class,Consumer,South Carolina,South,1,545.94,1679.749,2854.48,204.07999999999998,988.8789999999999,658.7359666666667,917.901854664831
2015-01-14,2015,1,2,0,0,1.0,First Class,Corporate,Pennsylvania,East,1,61.96,545.94,327.56,334.68,659.0875714285714,670.1312999999999,914.1773370280328
2015-01-15,2015,1,3,0,0,2.0,First Class,Consumer,Georgia,South,1,149.95,61.96,58.2,904.13,621.1447142857143,661.0406333333334,918.9715287960167
2015-01-16,2015,1,4,0,0,2.0,Second Class,Consumer,Pennsylvania,East,4,299.964,149.95,674.058,3745.6299999999997,634.2518571428571,635.9012999999999,922.4015331856574
2015-01-18,2015,1,6,1,0,3.0,Second Class,Corporate,Oregon,West,1,64.864,299.964,40.846000000000004,19.92,580.8098571428571,521.0457666666667,712.465378229208
2015-01-19,2015,1,0,0,0,1.0,First Class,Consumer,Arizona,West,4,378.594,64.864,1287.26,581.1039999999999,584.2410000000001,522.5439,711.421791039283
2015-01-20,2015,1,1,0,0,6.0,Standard Class,Consumer,Michigan,Central,8,708.616,378.594,1679.749,5.68,454.43157142857143,515.7935666666666,711.8076371439068
2015-01-20,2015,1,1,0,0,5.0,Standard Class,Consumer,California,West,2,38.66,708.616,545.94,19.752,315.6982857142857,539.2247666666666,705.9824961806738
2015-01-20,2015,1,1,0,0,6.0,Standard Class,Corporate,Tennessee,South,1,67.194,38.66,61.96,202.89600000000002,243.22971428571427,539.8550333333334,705.511027205029
2015-01-20,2015,1,1,0,0,6.0,Standard Class,Consumer,Arkansas,South,6,1859.4,67.194,149.95,380.744,243.97742857142856,535.3316333333333,708.1759401396822
2015-01-23,2015,1,4,0,0,5.0,Standard Class,Consumer,Nevada,West,1,40.08,1859.4,299.964,53.94,488.1845714285714,584.6201666666667,747.4153307202039
2015-01-26,2015,1,0,0,0,5.0,Standard Class,Home Office,Virginia,South,7,944.61,40.08,64.864,34.752,451.0582857142857,584.1581666666667,747.7588762145593
2015-01-26,2015,1,0,0,0,3.0,First Class,Corporate,South Dakota,Central,2,152.64000000000001,944.61,378.594,4.71,576.7362857142857,614.4867666666667,743.1443086436815
2015-01-27,2015,1,1,0,0,6.0,Standard Class,Consumer,California,West,3,426.67,152.64000000000001,708.616,1044.44,544.4571428571428,619.4177666666668,739.440275933352
2015-01-28,2015,1,2,0,0,33.0,Standard Class,Consumer,New York,East,1,3.928,426.67,38.66,599.896,504.17914285714284,598.8254333333333,735.7888613347269
2015-01-30,2015,1,4,0,0,62.0,Standard Class,Consumer,Michigan,Central,2,240.5,3.928,67.194,75.16,499.2174285714286,578.9598333333332,743.761056217704
2015-01-31,2015,1,5,1,0,2.0,First Class,Consumer,California,West,1,290.666,240.5,1859.4,15.696,523.9754285714287,584.4711666666666,740.5045879039268
2015-02-02,2015,2,0,0,1,120.0,Standard Class,Home Office,California,West,1,12.35,290.666,40.08,65.8,299.87057142857145,593.6368333333334,734.9022993680312
2015-02-02,2015,2,0,0,1,212.0,Standard Class,Consumer,Florida,South,2,199.296,12.35,944.61,76.12,295.90914285714285,591.8551666666666,736.289573113079
2015-02-03,2015,2,1,0,1,181.0,Standard Class,Home Office,New York,East,2,47.76,199.296,152.64000000000001,2027.144,189.43571428571428,595.9610333333334,733.6531624811918
2015-02-04,2015,2,2,0,1,120.0,Second Class,Consumer,Texas,Central,2,60.208,47.76,426.67,733.5600000000001,174.4528571428571,529.9815666666667,688.0958962328797
2015-02-04,2015,2,2,0,1,181.0,Standard Class,Consumer,Georgia,South,3,1220.67,60.208,3.928,95.968,122.10114285714285,507.53650000000005,692.1962175681386
2015-02-04,2015,2,2,0,1,181.0,Standard Class,Corporate,Virginia,South,1,177.68,1220.67,240.5,1614.124,295.9214285714285,545.0265666666667,699.5549844186257
2015-02-05,2015,2,3,0,1,59.0,Second Class,Consumer,Florida,South,1,479.984,177.68,290.666,2854.48,286.94714285714286,497.1451,672.4923597335691
2015-02-05,2015,2,3,0,1,0.0,Same Day,Consumer,Ohio,East,1,26.136,479.984,12.35,327.56,313.99257142857147,417.9952333333333,504.1366424614005
2015-02-06,2015,2,4,0,1,120.0,Standard Class,Consumer,Georgia,South,3,605.47,26.136,199.296,58.2,315.96200000000005,407.9477666666666,508.9815880967556
2015-02-06,2015,2,4,0,1,150.0,Standard Class,Home Office,Utah,West,2,133.128,605.47,47.76,674.058,373.9868571428572,426.19010000000003,505.81151949061365
2015-02-07,2015,2,5,1,1,120.0,Standard Class,Consumer,New Jersey,East,2,79.56,133.128,60.208,40.846000000000004,386.1822857142857,408.15909999999997,506.3121190158981
2015-02-08,2015,2,6,1,1,181.0,Standard Class,Home Office,Missouri,Central,3,886.28,79.56,1220.67,1287.26,388.9468571428571,409.4495666666666,505.3921451149001
2015-02-09,2015,2,0,0,1,150.0,Second Class,Consumer,Illinois,Central,1,239.976,886.28,177.68,1679.749,341.1768571428571,396.0835666666666,486.31875443621533
2015-02-09,2015,2,0,0,1,181.0,Standard Class,Consumer,Illinois,Central,1,475.944,239.976,479.984,545.94,350.07628571428575,348.09113333333335,422.0698755065558
2015-02-09,2015,2,0,0,1,150.0,Standard Class,Consumer,Arkansas,South,1,1793.98,475.944,26.136,61.96,349.4991428571429,345.7579333333333,421.13087822735946
2015-02-09,2015,2,0,0,1,28.0,First Class,Consumer,New York,East,2,72.69,1793.98,605.47,149.95,602.0482857142857,403.49193333333335,493.40459462923195
2015-02-09,2015,2,0,0,1,89.0,First Class,Consumer,New York,East,2,90.60999999999999,72.69,133.128,299.964,525.9368571428571,400.91659999999996,494.97273219640323
2015-02-09,2015,2,0,0,1,59.0,First Class,Consumer,New York,East,1,21.24,90.60999999999999,79.56,64.864,519.8628571428571,393.9381333333333,497.9121911080813
2015-02-09,2015,2,0,0,1,150.0,Standard Class,Corporate,Texas,Central,1,559.71,21.24,886.28,378.594,511.5314285714286,392.48400000000004,498.96895867157207
2015-02-10,2015,2,1,0,1,89.0,First Class,Corporate,Arizona,West,7,598.144,559.71,239.976,708.616,464.8785714285714,398.5212,499.8899464839752
2015-02-11,2015,2,2,0,1,120.0,Standard Class,Consumer,New York,East,2,124.2,598.144,475.944,38.66,516.0454285714286,394.83880000000005,497.9299381015572
2015-02-11,2015,2,2,0,1,150.0,Standard Class,Consumer,Texas,Central,1,88.776,124.2,1793.98,67.194,465.79628571428566,397.69013333333334,496.0614044971707
2015-02-11,2015,2,2,0,1,150.0,Second Class,Corporate,Washington,West,2,94.732,88.776,72.69,1859.4,222.19571428571427,398.40953333333334,495.5810005630613
2015-02-11,2015,2,2,0,1,120.0,Standard Class,Consumer,Ohio,East,3,609.4380000000001,94.732,90.60999999999999,40.08,225.34457142857144,339.58726666666666,414.2438247657375
2015-02-11,2015,2,2,0,1,120.0,Standard Class,Consumer,California,West,2,409.30400000000003,609.4380000000001,21.24,944.61,299.46285714285716,358.5658666666667,413.08968893781423
2015-02-11,2015,2,2,0,1,120.0,Standard Class,Home Office,Florida,South,1,799.92,409.30400000000003,559.71,152.64000000000001,354.9005714285714,340.7223333333333,398.19526156278823
2015-02-12,2015,2,3,0,1,59.0,First Class,Consumer,New York,East,3,1050.6,799.92,598.144,426.67,389.21628571428573,362.29833333333335,405.12860211426363
2015-02-12,2015,2,3,0,1,120.0,Standard Class,Corporate,Texas,Central,3,114.78399999999999,1050.6,124.2,3.928,453.8528571428571,383.09600000000006,424.1171572029725
2015-02-12,2015,2,3,0,1,150.0,Standard Class,Corporate,Maryland,East,4,463.04,114.78399999999999,88.776,240.5,452.5077142857143,386.7912,421.1723723629323
2015-02-12,2015,2,3,0,1,150.0,Standard Class,Corporate,Ohio,East,1,119.8,463.04,94.732,290.666,505.97400000000005,394.2092,420.4661129728652
2015-02-12,2015,2,3,0,1,212.0,Standard Class,Corporate,Georgia,South,2,21.19,119.8,609.4380000000001,12.35,509.55514285714287,388.51366666666667,423.0662642471305
2015-02-12,2015,2,3,0,1,59.0,First Class,Consumer,Illinois,Central,1,2.394,21.19,409.30400000000003,199.296,425.51971428571426,388.80833333333334,422.7982245377796
2015-02-14,2015,2,5,1,1,4.0,Standard Class,Corporate,Washington,West,3,560.55,2.394,799.92,47.76,367.3897142857143,382.24493333333334,427.34547872562854
2015-02-14,2015,2,5,1,1,5.0,Second Class,Consumer,Texas,Central,1,16.176,560.55,1050.6,60.208,333.19399999999996,399.33793333333335,423.7455317283232
2015-02-15,2015,2,6,1,1,4.0,Standard Class,Corporate,Washington,West,1,21.36,16.176,114.78399999999999,1220.67,185.41914285714284,397.8702,425.03498121232957
2015-02-16,2015,2,0,0,1,5.0,Standard Class,Consumer,Texas,Central,2,9.04,21.36,463.04,177.68,172.07285714285715,357.89320000000004,400.6805816282572
2015-02-17,2015,2,1,0,1,7.0,Standard Class,Consumer,Illinois,Central,1,54.208,9.04,119.8,479.984,107.21571428571427,352.27186666666665,404.4611870201819
2015-02-18,2015,2,2,0,1,0.0,Same Day,Consumer,Texas,Central,1,25.16,54.208,21.19,26.136,97.84542857142856,338.07933333333335,407.2856128205053
2015-02-18,2015,2,2,0,1,6.0,Standard Class,Consumer,Texas,Central,1,12.624,25.16,2.394,605.47,98.41257142857141,338.0468,407.3114277508565
2015-02-20,2015,2,4,0,1,6.0,Standard Class,Corporate,Indiana,Central,2,82.63,12.624,560.55,133.128,99.874,318.2852666666667,408.2698845797396
2015-02-20,2015,2,4,0,1,4.0,Standard Class,Home Office,California,West,1,12.96,82.63,16.176,79.56,31.59971428571428,316.602,409.16272164338307
2015-02-21,2015,2,5,1,1,4.0,Standard Class,Consumer,Illinois,Central,1,8.85,12.96,21.36,886.28,31.140285714285714,314.382,410.6710888414313
2015-02-22,2015,2,6,1,1,2.0,First Class,Consumer,California,West,1,19.44,8.85,9.04,239.976,29.353142857142853,285.13433333333336,399.633075395533
2015-02-23,2015,2,0,0,1,4.0,Standard Class,Home Office,Texas,Central,2,11.364,19.44,54.208,475.944,30.838857142857144,277.7831333333333,402.51040907531996
2015-02-27,2015,2,4,0,1,4.0,First Class,Consumer,Ohio,East,1,19.456,11.364,25.16,1793.98,24.718285714285713,262.2971333333333,403.55921638091905
2015-03-01,2015,3,6,1,1,122.0,Standard Class,Consumer,Texas,Central,1,16.448,19.456,12.624,72.69,23.903428571428574,203.1463333333333,283.50613266082746
2015-03-02,2015,3,0,0,1,92.0,Second Class,Consumer,Washington,West,2,97.11200000000001,16.448,82.63,90.60999999999999,24.44971428571429,201.2716,284.58245665531155
2015-03-03,2015,3,1,0,1,122.0,Standard Class,Consumer,Texas,Central,1,176.772,97.11200000000001,12.96,21.24,26.518571428571427,201.48833333333334,284.49773575249895
2015-03-03,2015,3,1,0,1,153.0,Standard Class,Corporate,Ohio,East,3,362.24199999999996,176.772,8.85,559.71,49.92028571428572,206.67273333333333,282.50999269259074
2015-03-03,2015,3,1,0,1,122.0,Standard Class,Consumer,California,West,1,626.352,362.24199999999996,19.44,598.144,100.40485714285715,200.09046666666666,276.23151716639876
2015-03-03,2015,3,1,0,1,122.0,Second Class,Consumer,North Carolina,South,1,19.456,626.352,11.364,124.2,187.1065714285714,201.03073333333336,277.67740136053584
2015-03-03,2015,3,1,0,1,153.0,Standard Class,Home Office,New York,East,3,161.07,19.456,19.456,88.776,188.2625714285714,197.53926666666666,279.3303661147287
2015-03-05,2015,3,3,0,1,61.0,First Class,Home Office,Wisconsin,Central,1,21.56,161.07,16.448,94.732,208.49314285714286,199.94906666666665,278.6707669816359
2015-03-05,2015,3,3,0,1,214.0,Standard Class,Consumer,New York,East,2,51.072,21.56,97.11200000000001,609.4380000000001,209.22342857142854,197.50999999999996,279.94076044122914
2015-03-06,2015,3,4,0,1,122.0,Second Class,Consumer,Washington,West,1,515.88,51.072,176.772,409.30400000000003,202.6462857142857,178.8978,269.9939362237857
2015-03-06,2015,3,4,0,1,122.0,Second Class,Home Office,Michigan,Central,1,15.28,515.88,362.24199999999996,799.92,251.0902857142857,182.4503333333333,273.8043861048061
2015-03-08,2015,3,6,1,1,61.0,First Class,Consumer,Colorado,West,2,221.35,15.28,626.352,1050.6,201.5242857142857,156.29566666666668,249.15384716086032
2015-03-08,2015,3,6,1,1,153.0,Standard Class,Consumer,New York,East,3,163.62,221.35,19.456,114.78399999999999,143.66685714285714,128.654,183.99601951091753
2015-03-08,2015,3,6,1,1,61.0,Second Class,Home Office,Arizona,West,1,93.024,163.62,161.07,463.04,164.26171428571428,130.28186666666664,184.0850877512768
2015-03-09,2015,3,0,0,1,0.0,Same Day,Consumer,New York,East,1,14.4,93.024,21.56,119.8,154.54085714285716,117.948,173.08844776687064
2015-03-09,2015,3,0,0,1,31.0,First Class,Home Office,Texas,Central,1,7.68,14.4,51.072,21.19,153.51800000000003,114.43466666666667,174.11620820457844
2015-03-10,2015,3,1,0,1,184.0,Standard Class,Home Office,North Carolina,South,2,67.75999999999999,7.68,515.88,2.394,147.31914285714285,113.98433333333334,174.38295865577035
2015-03-10,2015,3,1,0,1,153.0,Second Class,Corporate,California,West,2,265.784,67.75999999999999,15.28,560.55,83.302,116.16319999999999,173.34587057500613
2015-03-10,2015,3,1,0,1,153.0,Second Class,Consumer,Illinois,Central,1,258.279,265.784,221.35,16.176,119.0882857142857,106.33766666666666,154.63254075350682
2015-03-10,2015,3,1,0,1,0.0,Same Day,Consumer,Ohio,East,3,212.952,258.279,163.62,21.36,124.36385714285714,114.40776666666667,156.07565631773755
2015-03-10,2015,3,1,0,1,122.0,Standard Class,Consumer,Texas,Central,5,57.908,212.952,93.024,9.04,131.4112857142857,120.79416666666665,156.0568199183878
2015-03-11,2015,3,2,0,1,122.0,Standard Class,Consumer,North Carolina,South,4,1395.673,57.908,14.4,54.208,126.39471428571427,122.4231,155.10222143462374
2015-03-11,2015,3,2,0,1,122.0,Standard Class,Corporate,Nebraska,Central,1,89.97,1395.673,7.68,25.16,323.7194285714286,167.13859999999997,278.80112820105154
2015-03-11,2015,3,2,0,1,153.0,Standard Class,Consumer,Pennsylvania,East,1,286.344,89.97,67.75999999999999,12.624,335.4751428571429,169.29893333333334,277.91272893779166
2015-03-11,2015,3,2,0,1,61.0,Second Class,Corporate,New Jersey,East,1,5.76,286.344,265.784,82.63,366.70142857142855,178.42293333333333,277.08358964584994
2015-03-11,2015,3,2,0,1,0.0,Same Day,Home Office,California,West,1,6.72,5.76,258.279,12.96,329.5551428571428,175.8606,278.35250472954914
2015-03-11,2015,3,2,0,1,153.0,Standard Class,Consumer,Connecticut,East,1,11.64,6.72,212.952,8.85,293.6181428571428,175.6526,278.48073225958444
2015-03-11,2015,3,2,0,1,122.0,Standard Class,Consumer,New York,East,3,840.712,11.64,57.908,19.44,264.8592857142857,175.7456,278.4235668704588
2015-03-11,2015,3,2,0,1,153.0,Standard Class,Consumer,Tennessee,South,2,147.344,840.712,1395.673,11.364,376.6884285714285,203.12133333333335,301.9098257900438
2015-03-12,2015,3,3,0,1,184.0,Standard Class,Consumer,Oklahoma,Central,1,479.96,147.344,89.97,19.456,198.35571428571424,207.654,299.9460082657404
2015-03-12,2015,3,3,0,1,92.0,Second Class,Corporate,Missouri,Central,1,25.92,479.96,286.344,16.448,254.06857142857137,223.00413333333333,301.7605753935453
2015-03-14,2015,3,5,1,1,5.0,Standard Class,Home Office,Virginia,South,1,1139.92,25.92,5.76,97.11200000000001,216.86514285714279,223.31986666666668,301.5418784755
2015-03-14,2015,3,5,1,1,4.0,Standard Class,Home Office,Florida,South,1,91.056,1139.92,6.72,176.772,378.8879999999999,258.0801333333333,343.655637802882
2015-03-14,2015,3,5,1,1,3.0,First Class,Home Office,Illinois,Central,2,583.358,91.056,11.64,362.24199999999996,390.936,255.22293333333334,344.7096662026067
2015-03-14,2015,3,5,1,1,4.0,Standard Class,Corporate,California,West,2,13.940000000000001,583.358,840.712,626.352,472.61,262.59346666666664,349.4087451153519
2015-03-14,2015,3,5,1,1,5.0,Standard Class,Consumer,Utah,West,5,280.276,13.940000000000001,147.344,19.456,354.4997142857143,242.17973333333333,345.2892003456025
2015-03-15,2015,3,6,1,1,4.0,Standard Class,Consumer,Florida,South,5,370.78200000000004,280.276,479.96,161.07,373.48999999999995,250.87373333333332,342.7622187488733
2015-03-16,2015,3,0,0,1,5.0,Second Class,Home Office,North Carolina,South,1,471.92,370.78200000000004,25.92,21.56,357.89314285714283,257.8641333333333,343.00595805509244
2015-03-17,2015,3,1,0,1,0.0,Same Day,Consumer,Texas,Central,3,25.184,471.92,1139.92,51.072,421.60742857142856,272.8761333333333,342.1614358286543
2015-03-17,2015,3,1,0,1,4.0,Standard Class,Corporate,Mississippi,South,5,103.5,25.184,91.056,515.88,262.35942857142857,272.0132,342.77221634353907
2015-03-17,2015,3,1,0,1,3.0,Second Class,Corporate,Pennsylvania,East,1,126.624,103.5,583.358,15.28,264.1371428571428,258.2672,340.9190460872815
2015-03-17,2015,3,1,0,1,4.0,Standard Class,Corporate,New York,East,5,3455.13,126.624,13.940000000000001,221.35,198.88942857142857,261.97866666666664,338.78189437660654
2015-03-17,2015,3,1,0,1,7.0,Standard Class,Consumer,Minnesota,Central,5,249.92000000000002,3455.13,280.276,163.62,690.488,369.7713333333333,674.0103592308545
2015-03-18,2015,3,2,0,1,3.0,Second Class,Home Office,California,West,1,1198.33,249.92000000000002,370.78200000000004,93.024,686.1514285714286,372.64799999999997,673.2839407093951
2015-03-18,2015,3,2,0,1,5.0,Standard Class,Home Office,Florida,South,7,23661.228,1198.33,471.92,14.4,804.3725714285714,409.4915333333333,687.5459730081368
2015-03-18,2015,3,2,0,1,6.0,Standard Class,Home Office,California,West,3,3247.1580000000004,23661.228,25.184,7.68,4117.130857142857,1197.7191333333333,4297.380651282679
2015-03-19,2015,3,3,0,1,2.0,First Class,Corporate,Florida,South,7,590.762,3247.1580000000004,103.5,67.75999999999999,4577.412857142857,1305.701733333333,4307.13574988746
2015-03-21,2015,3,5,1,1,4.0,Standard Class,Corporate,North Carolina,South,1,16.272,590.762,126.624,265.784,4647.021714285715,1323.1351333333332,4303.008787184018
2015-03-21,2015,3,5,1,1,4.0,Standard Class,Consumer,Ohio,East,2,13.456,16.272,3455.13,258.279,4631.257142857143,1314.8180666666665,4305.363450063228
2015-03-21,2015,3,5,1,1,4.0,Standard Class,Consumer,Tennessee,South,3,310.528,13.456,249.92000000000002,212.952,4139.5894285714285,1306.6572999999999,4307.666578374351
2015-03-21,2015,3,5,1,1,4.0,Standard Class,Corporate,Virginia,South,5,3769.56,310.528,1198.33,57.908,4148.247714285714,1309.9098333333334,4306.849052592682
2015-03-22,2015,3,6,1,1,4.0,Standard Class,Corporate,Arizona,West,2,388.70399999999995,3769.56,23661.228,1395.673,4515.566285714286,1433.6315666666667,4322.924745990761
2015-03-22,2015,3,6,1,1,0.0,Same Day,Consumer,Indiana,Central,1,16.28,388.70399999999995,3247.1580000000004,89.97,1190.92,1400.065933333333,4327.136927298201
2015-03-22,2015,3,6,1,1,4.0,Standard Class,Consumer,North Carolina,South,2,59.109,16.28,590.762,286.344,729.366,1397.6095999999998,4327.927101127709
